date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:27	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Dec%202016%2017:54:23%20GMT	http://html.imaginacionweb.net/robots.txt		(from )
22:54:27	702/702	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2017:54:24%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/index.html	(from )
22:54:28	6148/6148	---M--	200	added ('OK')	text/plain	date:Wed,%2018%20Mar%202015%2023:08:44%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/.DS_Store	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/.DS_Store	(from http://html.imaginacionweb.net/fullstate/css/skins/)
22:54:29	7870/7870	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Mar%202015%2023:08:44%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/theme-options.css	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/theme-options.css	(from http://html.imaginacionweb.net/fullstate/css/skins/)
22:54:29	510/510	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2017:54:26%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/green/	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/green/index.html	(from http://html.imaginacionweb.net/fullstate/css/skins/)
22:54:30	510/510	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2017:54:26%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/cocoa/	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/cocoa/index.html	(from http://html.imaginacionweb.net/fullstate/css/skins/)
22:54:30	514/514	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2017:54:26%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/custom/	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/custom/index.html	(from http://html.imaginacionweb.net/fullstate/css/skins/)
22:54:30	514/514	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2017:54:26%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/orange/	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/orange/index.html	(from http://html.imaginacionweb.net/fullstate/css/skins/)
22:54:30	506/506	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2017:54:27%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/pink/	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/pink/index.html	(from http://html.imaginacionweb.net/fullstate/css/skins/)
22:54:31	514/514	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2017:54:27%20GMT	http://html.imaginacionweb.net/fullstate/css/skins/purple/	D:/My%20work%20data/codecanyon/real%20estates%20templates/Real%201/html.imaginacionweb.net/fullstate/css/skins/skins/html.imaginacionweb.net/fullstate/css/skins/purple/index.html	(from http://html.imaginacionweb.net/fullstate/css/skins/)
